Data de extração; Papel; EvEbit;Posicao EvEbit; Roic; Posicao Roic; PosicaoFinal
2023-04-23;KEPL3;2.64;11;0.5735;2;1;
2023-04-23;PETR4;1.90;8;0.3383;7;2;
2023-04-23;UNIP6;2.87;15;0.5872;1;3;
2023-04-23;TASA4;3.19;17;0.3800;5;4;
2023-04-23;GOAU4;1.12;6;0.2678;16;5;
2023-04-23;FESA4;3.31;20;0.3969;3;6;
2023-04-23;MNPR3;0.89;3;0.2200;25;7;
2023-04-23;GGBR4;3.18;16;0.2683;14;8;
2023-04-23;PLPL3;4.19;34;0.3123;8;9;
2023-04-23;RECV3;3.73;31;0.2880;11;10;
2023-04-23;CAMB3;3.70;28;0.2670;17;11;
2023-04-23;PRNR3;3.54;23;0.2219;24;12;
2023-04-23;LVTC3;0.91;4;0.1713;48;13;
2023-04-23;VALE3;3.81;32;0.2460;21;14;
2023-04-23;ENAT3;3.27;19;0.1828;38;15;
2023-04-23;CSUD3;4.31;35;0.2200;26;16;
2023-04-23;SHOW3;0.20;1;0.1502;63;17;
2023-04-23;LEVE3;5.42;56;0.2998;9;18;
2023-04-23;CMIN3;5.40;55;0.2978;10;19;
2023-04-23;VLID3;3.54;24;0.1806;42;20;
2023-04-23;CCRO3;4.77;46;0.2375;22;21;
2023-04-23;RANI3;4.96;49;0.2533;20;22;
2023-04-23;SLCE3;4.68;42;0.2044;30;23;
2023-04-23;DEXP3;4.43;37;0.1910;35;24;
2023-04-23;RAPT4;3.63;25;0.1644;51;25;
2023-04-23;BEEF3;5.09;51;0.2200;27;26;
2023-04-23;PTBL3;4.60;40;0.1824;39;27;
2023-04-23;PFRM3;2.36;9;0.1372;70;28;
2023-04-23;ETER3;3.44;22;0.1538;60;29;
2023-04-23;LREN3;4.69;43;0.1810;41;30;
2023-04-23;QUAL3;4.49;38;0.1673;50;31;
2023-04-23;TECN3;3.24;18;0.1364;71;32;
2023-04-23;SHUL4;5.55;58;0.1965;32;33;
2023-04-23;SUZB3;5.33;54;0.1893;36;34;
2023-04-23;CURY3;6.29;73;0.2577;19;35;
2023-04-23;TGMA3;6.10;66;0.2192;28;36;
2023-04-23;DMVF3;1.06;5;0.1135;89;37;
2023-04-23;PRIO3;7.66;91;0.3842;4;38;
2023-04-23;AGXY3;3.70;29;0.1435;66;39;
2023-04-23;AURA33;6.01;65;0.1938;33;40;
2023-04-23;USIM5;2.52;10;0.1153;88;41;
